        Time / s                signal1/real
          7.0236747e-011                    0.0070656198
          7.0711326e-011                    0.0073807524
          7.1185897e-011                    0.0077084466
          7.1660469e-011                     0.008049136
          7.2135041e-011                    0.0084032603
          7.2609613e-011                    0.0087712705
          7.3084185e-011                    0.0091536297
          7.3558756e-011                    0.0095508127
          7.4033335e-011                    0.0099633122
          7.4507907e-011                     0.010391614
          7.4982479e-011                     0.010836236
           7.545705e-011                     0.011297701
          7.5931622e-011                     0.011776542
          7.6406194e-011                      0.01227331
          7.6880766e-011                     0.012788563
          7.7355337e-011                     0.013322875
          7.7829909e-011                      0.01387683
          7.8304488e-011                     0.014451037
           7.877906e-011                     0.015046091
          7.9253631e-011                     0.015662622
          7.9728203e-011                     0.016301269
          8.0202775e-011                     0.016962681
          8.0677347e-011                     0.017647523
          8.1151919e-011                     0.018356469
          8.1626497e-011                      0.01909022
          8.2101069e-011                     0.019849457
          8.2575641e-011                     0.020634905
          8.3050213e-011                     0.021447292
          8.3524784e-011                     0.022287359
          8.3999356e-011                     0.023155859
          8.4473928e-011                     0.024053559
            8.49485e-011                     0.024981236
          8.5423071e-011                     0.025939684
           8.589765e-011                     0.026929718
          8.6372222e-011                     0.027952127
          8.6846794e-011                      0.02900775
          8.7321365e-011                     0.030097429
          8.7795937e-011                     0.031222012
          8.8270509e-011                     0.032382362
          8.8745081e-011                     0.033579353
          8.9219659e-011                     0.034813885
          8.9694231e-011                     0.036086816
          9.0168803e-011                     0.037399072
          9.0643375e-011                     0.038751561
          9.1117947e-011                     0.040145211
          9.1592518e-011                     0.041580956
           9.206709e-011                     0.043059729
          9.2541662e-011                     0.044582486
          9.3016234e-011                     0.046150185
          9.3490812e-011                      0.04776381
          9.3965384e-011                     0.049424283
          9.4439956e-011                     0.051132612
          9.4914528e-011                     0.052889775
          9.5389099e-011                     0.054696761
          9.5863671e-011                     0.056554563
          9.6338243e-011                     0.058464181
          9.6812822e-011                     0.060426634
          9.7287393e-011                     0.062442876
          9.7761965e-011                     0.064513937
          9.8236537e-011                     0.066640824
          9.8711109e-011                     0.068824537
          9.9185681e-011                     0.071066082
          9.9660252e-011                     0.073366471
          1.0013482e-010                     0.075726695
           1.006094e-010                     0.078147769
          1.0108397e-010                     0.080630705
          1.0155855e-010                     0.083176434
          1.0203312e-010                     0.085785978
          1.0250769e-010                     0.088460304
          1.0298226e-010                     0.091200396
          1.0345683e-010                     0.094007216
          1.0393141e-010                     0.096881703
          1.0440598e-010                     0.099824861
          1.0488056e-010                      0.10283752
          1.0535513e-010                      0.10592065
           1.058297e-010                      0.10907515
          1.0630427e-010                      0.11230192
          1.0677884e-010                      0.11560182
          1.0725341e-010                      0.11897571
          1.0772799e-010                      0.12242444
          1.0820256e-010                       0.1259488
          1.0867714e-010                      0.12954968
          1.0915171e-010                      0.13322772
          1.0962628e-010                      0.13698372
          1.1010085e-010                      0.14081843
          1.1057542e-010                      0.14473255
             1.1105e-010                      0.14872673
          1.1152457e-010                      0.15280165
          1.1199915e-010                      0.15695797
          1.1247372e-010                      0.16119614
          1.1294829e-010                      0.16551681
          1.1342286e-010                      0.16992047
          1.1389743e-010                      0.17440762
            1.14372e-010                       0.1789787
          1.1484658e-010                      0.18363412
          1.1532115e-010                      0.18837427
          1.1579572e-010                      0.19319947
           1.162703e-010                      0.19811007
